TRAIN=1 Loss_CL=0.0713714947 Accuracy_CL_Percent=50.20000 f_1_0=0.39200 f_1_1=0.58400 f_1_2=0.53700 f_1_3=0.50000 f_1_4=0.49700 f_1_global=0.50200 recall_0=0.39200 recall_1=0.58400 recall_2=0.53700 recall_3=0.50000 recall_4=0.49700 recall_global=0.50200 precision_0=0.39200 precision_1=0.58400 precision_2=0.53700 precision_3=0.50000 precision_4=0.49700 precision_global=0.50200 
TRAIN=2 Loss_CL=0.0593979616 Accuracy_CL_Percent=71.90000 f_1_0=0.88300 f_1_1=0.87100 f_1_2=0.62300 f_1_3=0.67700 f_1_4=0.54100 f_1_global=0.71900 recall_0=0.88300 recall_1=0.87100 recall_2=0.62300 recall_3=0.67700 recall_4=0.54100 recall_global=0.71900 precision_0=0.88300 precision_1=0.87100 precision_2=0.62300 precision_3=0.67700 precision_4=0.54100 precision_global=0.71900 
TRAIN=3 Loss_CL=0.0495196192 Accuracy_CL_Percent=78.86000 f_1_0=0.95800 f_1_1=0.93000 f_1_2=0.71300 f_1_3=0.75100 f_1_4=0.59100 f_1_global=0.78860 recall_0=0.95800 recall_1=0.93000 recall_2=0.71300 recall_3=0.75100 recall_4=0.59100 recall_global=0.78860 precision_0=0.95800 precision_1=0.93000 precision_2=0.71300 precision_3=0.75100 precision_4=0.59100 precision_global=0.78860 
